Municipality,co_municipio,age_lo,age_hi,year_model,pos,tested
Cruzeiro do Sul,120020,19,35,2015.5,41,435
Cruzeiro do Sul,120020,0,0,2015.5,66,642
Manaus,130260,24,31,2014.5,0,298
Macap‡,160030,16,69,2015,1,442
Feira de Santana,291080,1,60,2015.5,220,385
Riach‹o do Jacu’pe,292630,1,60,2015.5,204,446
Riach‹o do Jacu’pe,292630,0,60,2016,24,120
Juazeiro,291840,30,70,2016.5,3,52
Salvador,292740,5,40,2016.5,209,1772
Feira de Santana,291080,1,60,2017,438,1981
Salvador,292740,5,80,2015.5,87,652
Salvador,292740,5,80,2014,0,652
Salvador,292740,5,80,2015,70,652
Salvador,292740,5,80,2016,10,652
Salvador,292740,5,80,2017,7,652
Salvador,292740,21,33,2017,23,302
Salvador,292740,18.5,28.5,2016,62,101
Salvador,292740,0,0,2016,3,102
Quixad‡,231130,15,60,2018.5,289,409
Juazeiro do Norte,230730,5,91,2018,103,404
Fortaleza,230440,15,39,2018,538,1462
Fortaleza,230440,15,39,2018.5,558,1462
S‹o Sebasti‹oÊ,355030,7,87,2020.5,76,1405
Brasilia,530010,16,69,2019,9,450
Diamantina,312160,14,32,2018.5,1,135
Cabrob—,260330,30,70,2016.5,0,109
çguas Belas,260060,30,70,2016.5,213,272
Recife,261160,5,65,2018.5,770,2070
Paulista,261070,5,80,2017,219,421
Rio de JaneiroÊ,330455,0,60,2018,371,2120
Rio de JaneiroÊ,330455,16,69,2020.5,202,778
Ribeir‹o PretoÊ,354340,16,69,2016,0,455
S‹o Carlos,354890,16,69,2017.5,9,5608
S‹o Jose do Rio Preto,354980,14,60,2017,8,341
S‹o Jose do Rio Preto,354980,14,60,2015.5,1,341
S‹o Jose do Rio Preto,354980,14,60,2016.5,2,341
S‹o Jose do Rio Preto,354980,14,60,2017.5,1,341
S‹o Jose do Rio Preto,354980,14,60,2018.5,4,341
S‹o Jose do Rio Preto,354980,0,61,2019,65,497
Salvador,292740,19,30,2021,34,223
ManausÊ,130260,19,30,2021,26,186
Salvador,292740,,,2021.5,24,75
Recife,261160,15,80,2018.5,73,780
